FilePath, ChangeRate, AddLines, DeleteLines, class
lang/java/ipc/src/main/java/org/apache/avro/ipc/reflect/ReflectRequestor.java,3,36,20,non-bug-prone
lang/java/ipc/src/main/java/org/apache/avro/ipc/reflect/ReflectResponder.java,3,17,7,non-bug-prone
lang/java/ipc/src/main/java/org/apache/avro/ipc/specific/SpecificRequestor.java,6,148,60,bug-prone
lang/java/ipc/src/main/java/org/apache/avro/ipc/specific/SpecificResponder.java,4,34,35,non-bug-prone
lang/java/ipc/src/main/java/org/apache/avro/ipc/stats/Histogram.java,1,11,11,non-bug-prone
lang/java/ipc/src/main/java/org/apache/avro/ipc/stats/StaticServlet.java,1,2,2,non-bug-prone
lang/java/ipc/src/main/java/org/apache/avro/ipc/stats/StatsPlugin.java,1,19,19,non-bug-prone
lang/java/ipc/src/main/java/org/apache/avro/ipc/stats/StatsServer.java,1,9,9,non-bug-prone
lang/java/ipc/src/main/java/org/apache/avro/ipc/stats/StatsServlet.java,1,47,47,non-bug-prone
lang/java/ipc/src/test/java/org/apache/avro/DataFileInteropTest.java,2,112,9,non-bug-prone
lang/java/ipc/src/test/java/org/apache/avro/RPCMetaTestPlugin.java,2,46,47,non-bug-prone
lang/java/ipc/src/test/java/org/apache/avro/RandomData.java,3,146,4,non-bug-prone
lang/java/ipc/src/test/java/org/apache/avro/TestCompare.java,6,27,20,non-bug-prone
lang/java/ipc/src/test/java/org/apache/avro/TestDataFileSpecific.java,2,78,1,non-bug-prone
lang/java/ipc/src/test/java/org/apache/avro/TestProtocolDatagram.java,3,21,17,non-bug-prone
lang/java/ipc/src/test/java/org/apache/avro/TestProtocolGeneric.java,6,57,10,non-bug-prone
lang/java/ipc/src/test/java/org/apache/avro/TestProtocolGenericMeta.java,2,3,3,non-bug-prone
lang/java/ipc/src/test/java/org/apache/avro/TestProtocolHttp.java,6,48,20,bug-prone
lang/java/ipc/src/test/java/org/apache/avro/TestProtocolHttps.java,2,72,2,non-bug-prone
lang/java/ipc/src/test/java/org/apache/avro/TestProtocolNetty.java,3,50,3,non-bug-prone
lang/java/ipc/src/test/java/org/apache/avro/TestProtocolReflect.java,4,19,3,non-bug-prone
lang/java/ipc/src/test/java/org/apache/avro/TestProtocolReflectMeta.java,2,3,3,non-bug-prone
lang/java/ipc/src/test/java/org/apache/avro/TestProtocolSpecific.java,11,180,50,bug-prone
lang/java/ipc/src/test/java/org/apache/avro/TestProtocolSpecificMeta.java,2,18,17,non-bug-prone
lang/java/ipc/src/test/java/org/apache/avro/TestSchema.java,23,389,133,bug-prone
lang/java/ipc/src/test/java/org/apache/avro/compiler/specific/TestSpecificCompiler.java,8,573,108,bug-prone
lang/java/ipc/src/test/java/org/apache/avro/generic/TestDeepCopy.java,4,129,22,non-bug-prone
lang/java/ipc/src/test/java/org/apache/avro/io/Perf.java,2,477,139,non-bug-prone
lang/java/ipc/src/test/java/org/apache/avro/ipc/TestLocalTransceiver.java,3,7,4,non-bug-prone
lang/java/ipc/src/test/java/org/apache/avro/ipc/TestNettyServer.java,10,167,63,bug-prone
lang/java/ipc/src/test/java/org/apache/avro/ipc/TestNettyServerConcurrentExecution.java,3,238,39,non-bug-prone
lang/java/ipc/src/test/java/org/apache/avro/ipc/TestNettyServerWithCallbacks.java,8,802,111,non-bug-prone
lang/java/ipc/src/test/java/org/apache/avro/ipc/TestNettyServerWithCompression.java,2,110,1,non-bug-prone
lang/java/ipc/src/test/java/org/apache/avro/ipc/TestNettyServerWithSSL.java,3,264,114,non-bug-prone
lang/java/ipc/src/test/java/org/apache/avro/ipc/TestRpcPluginOrdering.java,7,120,20,non-bug-prone
lang/java/ipc/src/test/java/org/apache/avro/ipc/TestSaslAnonymous.java,4,30,3,non-bug-prone
lang/java/ipc/src/test/java/org/apache/avro/ipc/TestSaslDigestMd5.java,4,9,4,non-bug-prone
lang/java/ipc/src/test/java/org/apache/avro/ipc/stats/TestHistogram.java,1,9,9,non-bug-prone
lang/java/ipc/src/test/java/org/apache/avro/ipc/stats/TestStatsPluginAndServlet.java,2,8,8,non-bug-prone
lang/java/ipc/src/test/java/org/apache/avro/specific/TestSpecificData.java,11,97,10,non-bug-prone
lang/java/ipc/src/test/java/org/apache/avro/specific/TestSpecificDatumReader.java,1,4,4,non-bug-prone
lang/java/ipc/src/test/java/org/apache/avro/specific/TestSpecificErrorBuilder.java,3,84,10,non-bug-prone
lang/java/ipc/src/test/java/org/apache/avro/specific/TestSpecificRecordBuilder.java,7,270,22,non-bug-prone
lang/java/mapred/src/main/java/org/apache/avro/hadoop/file/HadoopCodecFactory.java,3,85,7,non-bug-prone
lang/java/mapred/src/main/java/org/apache/avro/hadoop/file/SortedKeyValueFile.java,6,652,19,non-bug-prone
lang/java/mapred/src/main/java/org/apache/avro/hadoop/io/AvroSequenceFile.java,4,792,57,non-bug-prone
lang/java/mapred/src/main/java/org/apache/avro/mapred/AvroAsTextInputFormat.java,3,77,7,non-bug-prone
lang/java/mapred/src/main/java/org/apache/avro/mapred/AvroAsTextRecordReader.java,3,105,6,non-bug-prone
lang/java/mapred/src/main/java/org/apache/avro/mapred/AvroInputFormat.java,2,28,9,non-bug-prone
lang/java/mapred/src/main/java/org/apache/avro/mapred/AvroJob.java,5,92,5,non-bug-prone
lang/java/mapred/src/main/java/org/apache/avro/mapred/AvroMultipleOutputs.java,6,679,53,non-bug-prone
lang/java/mapred/src/main/java/org/apache/avro/mapred/AvroOutputFormat.java,9,120,46,non-bug-prone
lang/java/mapred/src/main/java/org/apache/avro/mapred/AvroRecordReader.java,3,11,11,non-bug-prone
