FilePath, Cyclomatic, CountLines, Class
lang/java/avro/src/main/java/org/apache/avro/reflect/FieldAccessor.java,6,25,not-bug-prone
lang/java/avro/src/main/java/org/apache/avro/reflect/MapEntry.java,4,24,not-bug-prone
lang/java/avro/src/main/java/org/apache/avro/reflect/Nullable.java,0,11,not-bug-prone
lang/java/avro/src/main/java/org/apache/avro/reflect/ReflectData.java,177,742,bug-prone
lang/java/avro/src/main/java/org/apache/avro/reflect/ReflectDatumReader.java,57,240,not-bug-prone
lang/java/avro/src/main/java/org/apache/avro/reflect/ReflectDatumWriter.java,39,145,bug-prone
lang/java/avro/src/main/java/org/apache/avro/reflect/ReflectionUtil.java,17,107,not-bug-prone
lang/java/avro/src/main/java/org/apache/avro/reflect/Stringable.java,0,11,not-bug-prone
lang/java/avro/src/main/java/org/apache/avro/reflect/Union.java,0,12,not-bug-prone
lang/java/avro/src/main/java/org/apache/avro/specific/AvroGenerated.java,0,9,not-bug-prone
lang/java/avro/src/main/java/org/apache/avro/specific/ExternalizableInput.java,8,38,not-bug-prone
lang/java/avro/src/main/java/org/apache/avro/specific/ExternalizableOutput.java,6,30,not-bug-prone
lang/java/avro/src/main/java/org/apache/avro/specific/FixedSize.java,0,12,not-bug-prone
lang/java/avro/src/main/java/org/apache/avro/specific/SpecificData.java,102,371,bug-prone
lang/java/avro/src/main/java/org/apache/avro/specific/SpecificDatumReader.java,24,98,not-bug-prone
lang/java/avro/src/main/java/org/apache/avro/specific/SpecificDatumWriter.java,16,67,not-bug-prone
lang/java/avro/src/main/java/org/apache/avro/specific/SpecificErrorBuilderBase.java,13,75,not-bug-prone
lang/java/avro/src/main/java/org/apache/avro/specific/SpecificExceptionBase.java,9,45,not-bug-prone
lang/java/avro/src/main/java/org/apache/avro/specific/SpecificFixed.java,9,49,not-bug-prone
lang/java/avro/src/main/java/org/apache/avro/specific/SpecificRecord.java,0,4,not-bug-prone
lang/java/avro/src/main/java/org/apache/avro/specific/SpecificRecordBase.java,17,77,not-bug-prone
lang/java/avro/src/main/java/org/apache/avro/specific/SpecificRecordBuilderBase.java,3,14,not-bug-prone
lang/java/avro/src/main/java/org/apache/avro/util/ByteBufferInputStream.java,15,63,not-bug-prone
lang/java/avro/src/main/java/org/apache/avro/util/ByteBufferOutputStream.java,15,71,not-bug-prone
lang/java/avro/src/main/java/org/apache/avro/util/ClassUtils.java,13,44,not-bug-prone
lang/java/avro/src/main/java/org/apache/avro/util/RandomData.java,34,145,not-bug-prone
lang/java/avro/src/main/java/org/apache/avro/util/ReusableByteArrayInputStream.java,2,13,not-bug-prone
lang/java/avro/src/main/java/org/apache/avro/util/ReusableByteBufferInputStream.java,11,51,not-bug-prone
lang/java/avro/src/main/java/org/apache/avro/util/Utf8.java,28,125,not-bug-prone
lang/java/avro/src/main/java/org/apache/avro/util/WeakIdentityHashMap.java,20,141,not-bug-prone
lang/java/avro/src/main/java/org/apache/avro/util/internal/Accessor.java,17,80,not-bug-prone
lang/java/avro/src/main/java/org/apache/avro/util/internal/JacksonUtils.java,41,125,bug-prone
lang/java/compiler/src/main/java/org/apache/avro/compiler/idl/ResolvingVisitor.java,34,142,bug-prone
lang/java/compiler/src/main/java/org/apache/avro/compiler/idl/SchemaResolver.java,11,78,bug-prone
lang/java/compiler/src/main/java/org/apache/avro/compiler/schema/CloningVisitor.java,33,129,not-bug-prone
lang/java/compiler/src/main/java/org/apache/avro/compiler/schema/SchemaVisitor.java,0,8,not-bug-prone
lang/java/compiler/src/main/java/org/apache/avro/compiler/schema/SchemaVisitorAction.java,2,7,not-bug-prone
lang/java/compiler/src/main/java/org/apache/avro/compiler/schema/Schemas.java,55,183,bug-prone
lang/java/compiler/src/main/java/org/apache/avro/compiler/specific/ProtocolTask.java,15,71,not-bug-prone
lang/java/compiler/src/main/java/org/apache/avro/compiler/specific/SchemaTask.java,4,23,not-bug-prone
lang/java/compiler/src/main/java/org/apache/avro/compiler/specific/SpecificCompiler.java,232,828,bug-prone
lang/java/grpc/src/main/java/org/apache/avro/grpc/AvroGrpcClient.java,3,109,not-bug-prone
lang/java/grpc/src/main/java/org/apache/avro/grpc/AvroGrpcServer.java,5,80,not-bug-prone
lang/java/grpc/src/main/java/org/apache/avro/grpc/AvroGrpcUtils.java,10,44,not-bug-prone
lang/java/grpc/src/main/java/org/apache/avro/grpc/AvroInputStream.java,5,57,not-bug-prone
lang/java/grpc/src/main/java/org/apache/avro/grpc/AvroRequestMarshaller.java,5,74,not-bug-prone
lang/java/grpc/src/main/java/org/apache/avro/grpc/AvroResponseMarshaller.java,7,100,not-bug-prone
lang/java/grpc/src/main/java/org/apache/avro/grpc/ServiceDescriptor.java,4,31,not-bug-prone
lang/java/integration-test/test-custom-conversions/src/main/java/org/apache/avro/codegentest/CustomDecimal.java,8,36,not-bug-prone
lang/java/integration-test/test-custom-conversions/src/main/java/org/apache/avro/codegentest/CustomDecimalConversion.java,4,28,not-bug-prone
lang/java/ipc-jetty/src/main/java/org/apache/avro/ipc/jetty/HttpServer.java,19,107,not-bug-prone
lang/java/ipc-jetty/src/main/java/org/apache/avro/ipc/jetty/StaticServlet.java,2,17,not-bug-prone
lang/java/ipc-jetty/src/main/java/org/apache/avro/ipc/jetty/StatsServer.java,2,22,not-bug-prone
lang/java/ipc-netty/src/main/java/org/apache/avro/ipc/netty/NettyServer.java,9,132,not-bug-prone
lang/java/ipc-netty/src/main/java/org/apache/avro/ipc/netty/NettyTransceiver.java,55,394,not-bug-prone
lang/java/ipc-netty/src/main/java/org/apache/avro/ipc/netty/NettyTransportCodec.java,0,120,not-bug-prone
lang/java/ipc/src/main/java/org/apache/avro/ipc/CallFuture.java,19,79,not-bug-prone
lang/java/ipc/src/main/java/org/apache/avro/ipc/Callback.java,0,5,not-bug-prone
lang/java/ipc/src/main/java/org/apache/avro/ipc/DatagramServer.java,8,50,not-bug-prone
lang/java/ipc/src/main/java/org/apache/avro/ipc/DatagramTransceiver.java,8,57,not-bug-prone
lang/java/ipc/src/main/java/org/apache/avro/ipc/HttpTransceiver.java,17,96,not-bug-prone
lang/java/ipc/src/main/java/org/apache/avro/ipc/Ipc.java,9,36,not-bug-prone
lang/java/ipc/src/main/java/org/apache/avro/ipc/LocalTransceiver.java,5,26,not-bug-prone
lang/java/ipc/src/main/java/org/apache/avro/ipc/RPCContext.java,27,97,not-bug-prone
lang/java/ipc/src/main/java/org/apache/avro/ipc/RPCPlugin.java,7,17,not-bug-prone
lang/java/ipc/src/main/java/org/apache/avro/ipc/Requestor.java,41,379,bug-prone
lang/java/ipc/src/main/java/org/apache/avro/ipc/Responder.java,28,170,bug-prone
lang/java/ipc/src/main/java/org/apache/avro/ipc/ResponderServlet.java,3,27,not-bug-prone
lang/java/ipc/src/main/java/org/apache/avro/ipc/SaslSocketServer.java,4,79,not-bug-prone
lang/java/ipc/src/main/java/org/apache/avro/ipc/SaslSocketTransceiver.java,54,338,not-bug-prone
lang/java/ipc/src/main/java/org/apache/avro/ipc/Server.java,0,7,not-bug-prone
lang/java/ipc/src/main/java/org/apache/avro/ipc/SocketServer.java,10,103,not-bug-prone
lang/java/ipc/src/main/java/org/apache/avro/ipc/SocketTransceiver.java,20,89,not-bug-prone
lang/java/ipc/src/main/java/org/apache/avro/ipc/Transceiver.java,10,49,not-bug-prone
lang/java/ipc/src/main/java/org/apache/avro/ipc/generic/GenericRequestor.java,7,41,not-bug-prone
lang/java/ipc/src/main/java/org/apache/avro/ipc/generic/GenericResponder.java,9,46,not-bug-prone
lang/java/ipc/src/main/java/org/apache/avro/ipc/reflect/ReflectRequestor.java,10,50,not-bug-prone
lang/java/ipc/src/main/java/org/apache/avro/ipc/reflect/ReflectResponder.java,9,42,not-bug-prone
lang/java/ipc/src/main/java/org/apache/avro/ipc/specific/SpecificRequestor.java,30,136,bug-prone
lang/java/ipc/src/main/java/org/apache/avro/ipc/specific/SpecificResponder.java,13,73,bug-prone
lang/java/ipc/src/main/java/org/apache/avro/ipc/stats/FloatHistogram.java,6,27,not-bug-prone
lang/java/ipc/src/main/java/org/apache/avro/ipc/stats/Histogram.java,11,165,not-bug-prone
lang/java/ipc/src/main/java/org/apache/avro/ipc/stats/IntegerHistogram.java,6,27,not-bug-prone
lang/java/ipc/src/main/java/org/apache/avro/ipc/stats/StatsPlugin.java,19,128,not-bug-prone
lang/java/ipc/src/main/java/org/apache/avro/ipc/stats/StatsServlet.java,12,171,not-bug-prone
lang/java/ipc/src/main/java/org/apache/avro/ipc/stats/Stopwatch.java,8,41,not-bug-prone
lang/java/mapred/src/main/java/org/apache/avro/hadoop/file/HadoopCodecFactory.java,4,29,not-bug-prone
lang/java/mapred/src/main/java/org/apache/avro/hadoop/file/SortedKeyValueFile.java,0,267,not-bug-prone
lang/java/mapred/src/main/java/org/apache/avro/hadoop/io/AvroDatumConverter.java,0,6,not-bug-prone
lang/java/mapred/src/main/java/org/apache/avro/hadoop/io/AvroDatumConverterFactory.java,19,229,not-bug-prone
lang/java/mapred/src/main/java/org/apache/avro/hadoop/io/AvroDeserializer.java,10,50,not-bug-prone
lang/java/mapred/src/main/java/org/apache/avro/hadoop/io/AvroKeyComparator.java,4,29,not-bug-prone
lang/java/mapred/src/main/java/org/apache/avro/hadoop/io/AvroKeyDeserializer.java,3,17,not-bug-prone
lang/java/mapred/src/main/java/org/apache/avro/hadoop/io/AvroKeyValue.java,7,60,not-bug-prone
lang/java/mapred/src/main/java/org/apache/avro/hadoop/io/AvroSequenceFile.java,3,322,not-bug-prone
lang/java/mapred/src/main/java/org/apache/avro/hadoop/io/AvroSerialization.java,30,126,not-bug-prone
lang/java/mapred/src/main/java/org/apache/avro/hadoop/io/AvroSerializer.java,8,48,not-bug-prone
lang/java/mapred/src/main/java/org/apache/avro/hadoop/io/AvroValueDeserializer.java,3,17,not-bug-prone
lang/java/mapred/src/main/java/org/apache/avro/hadoop/util/AvroCharSequenceComparator.java,8,31,not-bug-prone
lang/java/mapred/src/main/java/org/apache/avro/mapred/AvroAsTextInputFormat.java,5,32,not-bug-prone
lang/java/mapred/src/main/java/org/apache/avro/mapred/AvroAsTextRecordReader.java,12,72,not-bug-prone
lang/java/mapred/src/main/java/org/apache/avro/mapred/AvroCollector.java,0,6,not-bug-prone
lang/java/mapred/src/main/java/org/apache/avro/mapred/AvroInputFormat.java,5,34,not-bug-prone
lang/java/mapred/src/main/java/org/apache/avro/mapred/AvroJob.java,39,162,not-bug-prone
lang/java/mapred/src/main/java/org/apache/avro/mapred/AvroKey.java,2,9,not-bug-prone
lang/java/mapred/src/main/java/org/apache/avro/mapred/AvroKeyComparator.java,4,24,not-bug-prone
