FilePath, ChangeRate, AddLines, DeleteLines
lang/java/maven-plugin/src/main/java/org/apache/avro/mojo/AbstractAvroMojo.java,12,262,23
lang/java/maven-plugin/src/main/java/org/apache/avro/mojo/IDLProtocolMojo.java,11,133,19
lang/java/maven-plugin/src/main/java/org/apache/avro/mojo/ProtocolMojo.java,9,85,9
lang/java/maven-plugin/src/main/java/org/apache/avro/mojo/SchemaMojo.java,13,112,18
lang/java/maven-plugin/src/test/java/org/apache/avro/mojo/AbstractAvroMojoTest.java,2,61,1
lang/java/maven-plugin/src/test/java/org/apache/avro/mojo/TestIDLProtocolMojo.java,3,46,2
lang/java/maven-plugin/src/test/java/org/apache/avro/mojo/TestProtocolMojo.java,2,45,1
lang/java/maven-plugin/src/test/java/org/apache/avro/mojo/TestSchemaMojo.java,2,45,1
lang/java/protobuf/src/main/java/org/apache/avro/protobuf/ProtobufData.java,11,402,54
lang/java/protobuf/src/main/java/org/apache/avro/protobuf/ProtobufDatumReader.java,6,94,10
lang/java/protobuf/src/main/java/org/apache/avro/protobuf/ProtobufDatumWriter.java,3,76,7
lang/java/protobuf/src/test/java/org/apache/avro/protobuf/Test.java,6,3941,625
lang/java/protobuf/src/test/java/org/apache/avro/protobuf/TestProtobuf.java,6,96,4
lang/java/thrift/src/main/java/org/apache/avro/thrift/ThriftData.java,12,315,45
lang/java/thrift/src/main/java/org/apache/avro/thrift/ThriftDatumWriter.java,2,61,3
lang/java/thrift/src/test/java/org/apache/avro/thrift/test/E.java,3,50,2
lang/java/thrift/src/test/java/org/apache/avro/thrift/test/Error.java,3,427,42
lang/java/thrift/src/test/java/org/apache/avro/thrift/test/Foo.java,3,2203,207
lang/java/thrift/src/test/java/org/apache/avro/thrift/test/FooOrBar.java,3,361,5
lang/java/thrift/src/test/java/org/apache/avro/thrift/test/Nested.java,3,431,48
lang/java/thrift/src/test/java/org/apache/avro/thrift/test/Test.java,7,2454,443
lang/java/tools/src/main/java/org/apache/avro/tool/BinaryFragmentToJsonTool.java,9,56,38
lang/java/tools/src/main/java/org/apache/avro/tool/CatTool.java,3,236,20
lang/java/tools/src/main/java/org/apache/avro/tool/DataFileGetMetaTool.java,4,101,7
lang/java/tools/src/main/java/org/apache/avro/tool/DataFileRepairTool.java,2,313,5
lang/java/tools/src/main/java/org/apache/avro/tool/DataFileWriteTool.java,6,13,38
lang/java/tools/src/main/java/org/apache/avro/tool/FromTextTool.java,5,64,44
lang/java/tools/src/main/java/org/apache/avro/tool/IdlTool.java,2,2,2
lang/java/tools/src/main/java/org/apache/avro/tool/JsonToBinaryFragmentTool.java,8,73,47
lang/java/tools/src/main/java/org/apache/avro/tool/RpcReceiveTool.java,5,14,18
lang/java/tools/src/main/java/org/apache/avro/tool/RpcSendTool.java,4,6,6
lang/java/tools/src/main/java/org/apache/avro/tool/ToTextTool.java,3,15,15
lang/java/tools/src/main/java/org/apache/avro/tool/TrevniMetadataTool.java,2,116,1
lang/java/tools/src/main/java/org/apache/avro/tool/TrevniToJsonTool.java,3,184,3
lang/java/tools/src/main/java/org/apache/avro/tool/TrevniUtil.java,2,88,5
lang/java/tools/src/main/java/org/apache/avro/tool/Util.java,7,250,92
lang/java/tools/src/test/compiler/output-string/avro/examples/baseball/Player.java,14,497,84
lang/java/tools/src/test/compiler/output-string/avro/examples/baseball/Position.java,4,32,19
lang/java/tools/src/test/compiler/output/Player.java,21,538,125
lang/java/tools/src/test/compiler/output/Position.java,7,33,20
lang/java/tools/src/test/java/org/apache/avro/tool/TestCatTool.java,2,365,18
lang/java/tools/src/test/java/org/apache/avro/tool/TestCreateRandomFileTool.java,3,116,7
lang/java/tools/src/test/java/org/apache/avro/tool/TestDataFileTools.java,6,85,50
lang/java/tools/src/test/java/org/apache/avro/tool/TestJsonToFromBinaryFragmentTools.java,3,86,24
lang/java/tools/src/test/java/org/apache/avro/tool/TestRpcReceiveAndSendTools.java,1,4,4
lang/java/tools/src/test/java/org/apache/avro/tool/TestTextFileTools.java,4,155,10
lang/java/tools/src/test/java/org/apache/avro/tool/TestToTrevniTool.java,2,76,1
lang/java/trevni/avro/src/main/java/org/apache/trevni/avro/AvroColumnReader.java,4,295,19
lang/java/trevni/avro/src/main/java/org/apache/trevni/avro/AvroColumnWriter.java,2,179,6
lang/java/trevni/avro/src/main/java/org/apache/trevni/avro/AvroColumnator.java,4,176,8
lang/java/trevni/avro/src/main/java/org/apache/trevni/avro/AvroTrevniInputFormat.java,3,111,6
lang/java/trevni/avro/src/main/java/org/apache/trevni/avro/AvroTrevniOutputFormat.java,3,126,7
lang/java/trevni/avro/src/main/java/org/apache/trevni/avro/mapreduce/AvroTrevniKeyInputFormat.java,3,63,6
lang/java/trevni/avro/src/main/java/org/apache/trevni/avro/mapreduce/AvroTrevniKeyOutputFormat.java,2,60,4
lang/java/trevni/avro/src/main/java/org/apache/trevni/avro/mapreduce/AvroTrevniKeyRecordReader.java,2,61,2
lang/java/trevni/avro/src/main/java/org/apache/trevni/avro/mapreduce/AvroTrevniKeyValueInputFormat.java,3,70,6
lang/java/trevni/avro/src/main/java/org/apache/trevni/avro/mapreduce/AvroTrevniKeyValueOutputFormat.java,2,72,8
lang/java/trevni/avro/src/main/java/org/apache/trevni/avro/mapreduce/AvroTrevniKeyValueRecordReader.java,2,69,1
lang/java/trevni/avro/src/main/java/org/apache/trevni/avro/mapreduce/AvroTrevniKeyValueRecordWriter.java,2,112,11
lang/java/trevni/avro/src/main/java/org/apache/trevni/avro/mapreduce/AvroTrevniRecordReaderBase.java,2,112,8
lang/java/trevni/avro/src/main/java/org/apache/trevni/avro/mapreduce/AvroTrevniRecordWriterBase.java,2,151,15
lang/java/trevni/avro/src/test/java/org/apache/trevni/avro/RandomData.java,3,134,5
lang/java/trevni/avro/src/test/java/org/apache/trevni/avro/TestMetadataFiltering.java,2,55,5
lang/java/trevni/avro/src/test/java/org/apache/trevni/avro/TestShredder.java,5,298,22
lang/java/trevni/avro/src/test/java/org/apache/trevni/avro/TestWordCount.java,3,171,24
lang/java/trevni/avro/src/test/java/org/apache/trevni/avro/WordCountUtil.java,3,150,15
lang/java/trevni/avro/src/test/java/org/apache/trevni/avro/mapreduce/TestKeyValueWordCount.java,3,187,28
lang/java/trevni/avro/src/test/java/org/apache/trevni/avro/mapreduce/TestKeyWordCount.java,3,213,35
lang/java/trevni/core/src/main/java/org/apache/trevni/BZip2Codec.java,2,82,5
lang/java/trevni/core/src/main/java/org/apache/trevni/BlockDescriptor.java,2,51,2
lang/java/trevni/core/src/main/java/org/apache/trevni/ColumnDescriptor.java,2,97,1
lang/java/trevni/core/src/main/java/org/apache/trevni/ColumnFileReader.java,3,153,1
lang/java/trevni/core/src/main/java/org/apache/trevni/ColumnFileWriter.java,3,176,3
lang/java/trevni/core/src/main/java/org/apache/trevni/ColumnOutputBuffer.java,3,123,3
lang/java/trevni/core/src/main/java/org/apache/trevni/ColumnValues.java,3,152,2
