FilePath, ChangeRate, AddLines, DeleteLines, class
lang/java/avro/src/test/java/org/apache/avro/generic/TestSkipEnumSchema.java,1,53,0,bug-prone
lang/java/ipc/src/test/java/org/apache/avro/generic/TestBuilderCopy.java,1,52,0,non-bug-prone
lang/java/thrift/src/main/java/org/apache/avro/thrift/ThriftData.java,7,50,50,bug-prone
lang/java/avro/src/test/java/org/apache/avro/TestDecimalConversion.java,1,211,0,bug-prone
lang/java/integration-test/test-custom-conversions/src/main/java/org/apache/avro/codegentest/FixedSizeString.java,1,65,0,bug-prone
lang/java/integration-test/test-custom-conversions/src/main/java/org/apache/avro/codegentest/FixedSizeStringConversion.java,1,63,0,bug-prone
lang/java/integration-test/test-custom-conversions/src/main/java/org/apache/avro/codegentest/FixedSizeStringFactory.java,1,38,0,bug-prone
lang/java/integration-test/test-custom-conversions/src/main/java/org/apache/avro/codegentest/FixedSizeStringLogicalType.java,1,65,0,bug-prone
lang/java/ipc/src/test/java/org/apache/avro/generic/TestDeepCopy.java,6,48,34,bug-prone
lang/java/ipc-netty/src/main/java/org/apache/avro/ipc/netty/NettyServer.java,5,121,153,non-bug-prone
lang/java/ipc-netty/src/main/java/org/apache/avro/ipc/netty/NettyTransportCodec.java,5,45,55,bug-prone
lang/java/ipc-netty/src/test/java/org/apache/avro/ipc/netty/TestNettyServer.java,5,49,51,non-bug-prone
lang/java/ipc-netty/src/test/java/org/apache/avro/ipc/netty/TestNettyServerConcurrentExecution.java,4,40,54,bug-prone
lang/java/ipc-netty/src/test/java/org/apache/avro/ipc/netty/TestNettyServerWithCompression.java,3,24,74,non-bug-prone
lang/java/ipc-netty/src/test/java/org/apache/avro/ipc/netty/TestNettyServerWithSSL.java,3,48,98,non-bug-prone
lang/java/ipc-netty/src/test/java/org/apache/avro/ipc/netty/TestNettyTransceiverWhenServerStops.java,4,27,39,non-bug-prone
lang/java/ipc-netty/src/test/java/org/apache/avro/ipc/netty/TestProtocolNetty.java,3,3,3,non-bug-prone
lang/java/integration-test/codegen-test/src/test/java/org/apache/avro/codegentest/TestNestedLogicalTypes.java,5,104,20,bug-prone
lang/java/integration-test/test-custom-conversions/src/main/java/org/apache/avro/codegentest/CustomDecimal.java,2,5,1,bug-prone
lang/java/integration-test/test-custom-conversions/src/main/java/org/apache/avro/codegentest/CustomDecimalConversion.java,2,25,1,bug-prone
lang/java/avro/src/main/java/org/apache/avro/data/TimeConversions.java,7,169,47,bug-prone
lang/java/avro/src/main/java/org/apache/avro/file/SnappyCodec.java,9,41,32,bug-prone
lang/java/avro/src/main/java/org/apache/avro/io/DirectBinaryDecoder.java,5,30,37,bug-prone
lang/java/avro/src/main/java/org/apache/avro/util/ByteBufferOutputStream.java,6,23,18,bug-prone
lang/java/avro/src/main/java/org/apache/avro/util/ReusableByteBufferInputStream.java,3,99,5,bug-prone
lang/java/ipc/src/main/java/org/apache/avro/ipc/DatagramTransceiver.java,6,28,22,bug-prone
lang/java/ipc/src/main/java/org/apache/avro/ipc/HttpTransceiver.java,7,33,35,bug-prone
lang/java/ipc/src/main/java/org/apache/avro/ipc/SaslSocketTransceiver.java,10,116,93,bug-prone
lang/java/ipc/src/main/java/org/apache/avro/ipc/SocketTransceiver.java,6,36,25,bug-prone
lang/java/mapred/src/main/java/org/apache/avro/mapred/AvroTextOutputFormat.java,7,25,26,bug-prone
lang/java/protobuf/src/main/java/org/apache/avro/protobuf/ProtoConversions.java,3,146,5,bug-prone
lang/java/tools/src/main/java/org/apache/avro/tool/FromTextTool.java,6,25,26,bug-prone
lang/java/trevni/core/src/main/java/org/apache/trevni/Crc32Checksum.java,4,12,7,bug-prone
lang/java/trevni/core/src/main/java/org/apache/trevni/InputBuffer.java,5,77,63,bug-prone
lang/java/trevni/core/src/main/java/org/apache/trevni/SnappyCodec.java,6,19,18,bug-prone
lang/java/trevni/core/src/test/java/org/apache/trevni/TestAllCodecs.java,2,126,6,bug-prone
lang/java/tools/src/main/java/org/apache/avro/tool/Main.java,9,38,55,bug-prone
lang/java/tools/src/main/java/org/apache/avro/tool/RecordCountTool.java,1,89,0,non-bug-prone
lang/java/tools/src/test/java/org/apache/avro/tool/TestRecordCountTool.java,1,99,0,non-bug-prone
lang/java/avro/src/main/java/org/apache/avro/generic/GenericRecord.java,4,12,4,bug-prone
